seq,link_length,lambda,mean_tt,cv_tt
1,629.3682087,0.14235150665226481,113.12413793103448,0.3916863933317225
2,520.7165083,0.5793143528517891,125.53448275862068,0.3570032142859706
3,565.0567020000001,0.6919967078088576,71.99290780141844,0.34833619088427253
4,711.3705679999998,0.617130208325226,135.39370078740157,0.2604660973643793
5,293.4702790000001,0.3608578648915353,53.425925925925924,0.6116923900599205
6,341.0005839999999,0.7778047537160303,38.396694214876035,0.4131262221761511
7,596.4484040000002,0.29681848367161157,60.16969696969697,0.1283635720184912
8,355.5758900000001,0.27373897584826506,62.46511627906977,0.4776555237815468
9,506.56096199999956,0.19357160411279795,104.24358974358974,0.4224304886589787
10,724.9512730000006,1.6667999594073204,121.4968152866242,0.33426459388298213
11,720.7534459999997,1.0085682143138859,153.4344827586207,0.10719381664245714
12,226.9330659999996,0.4479190027997425,96.96296296296296,0.4820864186881574
13,577.0732090000001,0.8811981292067819,127.37724550898204,0.39391485650375574
14,223.35252200000014,0.7653412900609295,157.47058823529412,0.5122342152925912
15,746.8079370000005,0.4795249850938968,36.18248175182482,0.3431583103024358
16,466.02283799999896,0.9806897416072753,68.4329268292683,0.23004440448330765
17,464.8866960000014,0.6956753322881507,54.93975903614458,0.283023039205564
18,397.92522499999905,0.4795868310904508,61.97202797202797,0.2024044496796843
19,397.9299919999994,0.16445665148897096,102.74857142857142,0.4460544637115219
20,887.6865700000017,0.7621471058661968,235.0,0.39470876337258004
21,562.0902699999988,0.35209825243549636,31.7,0.21779072937256483
22,281.4025099999999,0.17186420814063924,77.06349206349206,0.4843815493505442
23,416.6005700000005,0.6980511251815431,110.04729729729729,0.38350897033260417
24,489.7635599999994,0.3948693627717892,45.26984126984127,0.4386267907811316
25,587.1065900000012,0.4210863720525904,55.81764705882353,0.29454697943210795
26,205.74197999999888,0.36909233428368665,160.93333333333334,0.48997671964974826
27,679.0985199999996,0.5355425942223176,70.07894736842105,0.5175715061391678
28,550.8234800000009,0.622638998528281,173.06629834254144,0.5100954795218677
29,483.94621000000006,0.5097766919104904,90.57236842105263,0.5356608579003349
30,480.79689999999937,0.19178463314132832,126.5618556701031,0.3895150710215015
31,163.32470000000103,0.5699094386928047,23.487951807228917,0.6002512754911504
32,568.099119999999,0.5658188874797141,129.5372340425532,0.37736696051552643
33,475.19749000000047,0.25904704822864333,42.28823529411765,0.11789816372538488
34,555.2954099999988,0.6535077608476008,152.66871165644173,0.42527492005583906
35,381.2763900000027,0.3941176823312281,29.251572327044027,0.475738517778737
36,381.2734899999996,0.27689140843324533,183.89473684210526,0.4628800165473057
37,288.1809299999986,0.45163923582845383,29.31764705882353,0.4071076879807511
38,492.25752999999895,0.18066014983025408,155.51041666666666,0.5616439122949147
39,738.8588900000032,0.42389346587416393,139.3048780487805,0.3995920552377418
40,312.17659999999887,0.18580015321276583,42.23428571428571,0.1916129691413651
41,457.61664999999994,0.23107458106434042,69.03048780487805,0.6118229309010614
42,423.3338299999996,0.10310922876461683,254.42753623188406,0.3283058364297806
43,691.4176100000004,0.09481057628984038,85.65131578947368,0.2733674539767639
